idx, lp_name, lp_address, deposit_token, beethoven_pool_id, reward_to_deposit_pool_id
0,BPT-BEETS-USDC,0x03c6B3f09D2504606936b1A4DeCeFaD204687890,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
1,GRAND-ORCH,0xd47D2791d3B46f9452709Fa41855a045304D6f9d,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xd47d2791d3b46f9452709fa41855a045304d6f9d000100000000000000000004,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
3,FTM-SONATA,0xf0e2c47d4C9FBBbc2F2E19ACdaA3c773A3ECD221,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xf0e2c47d4c9fbbbc2f2e19acdaa3c773a3ecd22100010000000000000000000a,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
4,E-MAJOR,0xA07De66AeF84e2c01D88a48D57D1463377Ee602b,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xa07de66aef84e2c01d88a48d57d1463377ee602b000200000000000000000002,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
5,B-MAJOR,0x22B30B00e6796Daf710fBE5cAFBFc9Cdd1377f2A,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x22b30b00e6796daf710fbe5cafbfc9cdd1377f2a000200000000000000000001,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
6,CLASSIC,0x6FDC8415B654B0F60475944A0b9421Dc36ee1363,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x6fdc8415b654b0f60475944a0b9421dc36ee1363000100000000000000000000,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
7,LBP-DANCE-DEGEN,0x72C0eB973Dc95e2d185563f58fC26626CC2e8034,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x72c0eb973dc95e2d185563f58fc26626cc2e8034000100000000000000000011,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
8,FTM-OPERA,0xcdF68a4d525Ba2E90Fe959c74330430A5a6b8226,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xcdf68a4d525ba2e90fe959c74330430a5a6b8226000200000000000000000008,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
9,BPT-BEETS-FTM,0xcdE5a11a4ACB4eE4c805352Cec57E236bdBC3837,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
10,BeetXLP_MIM_USDC_USDT,0xD163415BD34EF06f57C58D2AEd5A5478AfB464cC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xd163415bd34ef06f57c58d2aed5a5478afb464cc00000000000000000000000e,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
11,BLP-USDC-MAI,0x2ed55f12e700CdE978E1F0491D681919814ca44B,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x2ed55f12e700cde978e1f0491d681919814ca44b000200000000000000000021,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
12,BPT-DANIELE,0x6d12D3fE16dD83115254a32B273B05Ac5444C349,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x6d12d3fe16dd83115254a32b273b05ac5444c349000100000000000000000029,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
13,BPT-MOOSIC,0x2975035545008935152FdF48ca13406cc5D4e475,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x2975035545008935152fdf48ca13406cc5d4e47500010000000000000000002a,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
14,BPT-PAINT,0x7cA132d9E8c420b84578a6618F10b23545513058,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x7ca132d9e8c420b84578a6618f10b2354551305800010000000000000000002b,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
15,BPT-FTMUSIC,0xfC092F85125907fFcb0f9012e6e40B3f37c4De60,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xfc092f85125907ffcb0f9012e6e40b3f37c4de60000100000000000000000044,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
16,BPT-GUQINQI,0x2C580C6F08044D6dfACA8976a66C8fAddDBD9901,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x2c580c6f08044d6dfaca8976a66c8fadddbd9901000000000000000000000038,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
17,BPT-QUARTET,0xf3A602d30dcB723A74a0198313a7551FEacA7DAc,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xf3a602d30dcb723a74a0198313a7551feaca7dac00010000000000000000005f,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
18,BPT-ICEFIRE,0x2BeA17EdE5D83ad19ae112B8592AadaA2B015De7,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x2bea17ede5d83ad19ae112b8592aadaa2b015de7000100000000000000000069,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
19,BPT-CRVLINK,0x65Bf2d53BD1d7050d22873f6B9Bb59edb0cA0b20,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x65bf2d53bd1d7050d22873f6b9bb59edb0ca0b2000010000000000000000006e,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
20,BPT-HND,0xD57Cda2caEBb9B64BB88905C4dE0F0Da217a77d7,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xd57cda2caebb9b64bb88905c4de0f0da217a77d7000100000000000000000073,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
21,BPT-BNBARON,0x5E65474c8400d0BB76eDBBE066B2D2E7b0b6e7fb,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x5e65474c8400d0bb76edbbe066b2d2e7b0b6e7fb00010000000000000000007c,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
23,BPT-FTMDAI,0x63386eF152E1Ddef96c065636D6cC0165Ff33291,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x63386ef152e1ddef96c065636d6cc0165ff332910002000000000000000000a1,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
24,BPT-SOLANA,0x41870439b607A29293D48f7c9da10e6714217624,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x41870439b607a29293d48f7c9da10e67142176240001000000000000000000a4,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
25,BPT-MIMUSDCUST,0xF3f0970BCA8ce7E9672d17a301b54D1485D93807,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xf3f0970bca8ce7e9672d17a301b54d1485d938070000000000000000000000c8,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
26,BPT-L1TOKEN,0x9af1F0e9aC9C844A4a4439d446c1437807183075,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x9af1f0e9ac9c844a4a4439d446c14378071830750001000000000000000000da,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
27,BPT-asUSDC,0x8Bb1839393359895836688165f7c5878f8C81C5e,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x8bb1839393359895836688165f7c5878f8c81c5e0002000000000000000000e1,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015
29,BPT-WAGMI,0x713ee620a7702b79eA5413096A90702244FE4532,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x713ee620a7702b79ea5413096a90702244fe4532000100000000000000000105,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
30,bpt_BELUGA_FTM,0xC7f084bCB91F779617B41602f85102849098D6a2,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xc7f084bcb91f779617b41602f85102849098d6a2000200000000000000000023,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
32,BPT-INFERNO,0xc042EF6cA08576BdFb57d3055A7654344fd153E4,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xc042ef6ca08576bdfb57d3055a7654344fd153e400010000000000000000003a,0xcde5a11a4acb4ee4c805352cec57e236bdbc3837000200000000000000000019
33,BPT-STABEET,0xeCAa1cBd28459d34B766F9195413Cb20122Fb942,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xecaa1cbd28459d34b766f9195413cb20122fb942000200000000000000000120,0x03c6b3f09d2504606936b1a4decefad204687890000200000000000000000015