idx,comptroller,name,token_adr,pool_adr,tvl,borrowed,utilization
0,0x1Fd38E74fE96F5eB35A4aa6d9D75396D2223C967,Wrapped Matic,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x217762fC7Af17785aB4eEdD15343a4d95aFCA942,660,0,0.00
0,0x1Fd38E74fE96F5eB35A4aa6d9D75396D2223C967,USD Coin (PoS),0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x1F16F39E92762833aff356474a0f97dF550b8663,758,0,0.00
1,0x2BF93d365E5Ca26619dc3B496Ffa5Ae49CD219a0,USD Coin (PoS),0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xD74662C8412f1dC1fc889BF6E52D2E1980b8E9EE,5253,1502,28.59
1,0x2BF93d365E5Ca26619dc3B496Ffa5Ae49CD219a0,(PoS) Dai Stablecoin,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x68f0A754149A4c9f75F46E3AA56681680a812DAf,1318,165,12.53
1,0x2BF93d365E5Ca26619dc3B496Ffa5Ae49CD219a0,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0xb7903cE468A84ce1B5b0427a81B79feC6ECe544b,820431,4983,0.61
1,0x2BF93d365E5Ca26619dc3B496Ffa5Ae49CD219a0,(PoS) Tether USD,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0xD415C5c4e372d88600b28dCF387674FeCE451eFb,144,0,0.00
2,0x70e84D964b59BC3609254e0E1F259aFe6809Ee11,Wrapped Ether,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x105FF7002D17F7E09964698af4cCd4f15b28A0EF,153,0,0.00
2,0x70e84D964b59BC3609254e0E1F259aFe6809Ee11,DefiPulse Index (PoS),0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,0x0a7A2266d6093E162d385991d4A079503F0FCA91,1865,161,8.64
2,0x70e84D964b59BC3609254e0E1F259aFe6809Ee11,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0xF458e610dCb7486B811bd5BD6Ef4994E6147aeF3,18202,946,5.20
2,0x70e84D964b59BC3609254e0E1F259aFe6809Ee11,USD Coin (PoS),0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x24F7F8f89c647973Cfb770A31CB6ba4aBc92Cf3C,6410,3027,47.23
2,0x70e84D964b59BC3609254e0E1F259aFe6809Ee11,Wrapped Matic,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xAF6aac4d659CFf21AEb256C81030C9000c53d98a,697,0,0.00
2,0x70e84D964b59BC3609254e0E1F259aFe6809Ee11,Frax,0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89,0x164835016E1590EE91Eb479c4Eeb1249779856aa,996803,1486,0.15
3,0x296233b4f2FEf1Ce7977340cEb3cec4CbE3ada42,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0x478F685666C2B829B2e558f832d03BcfC7c9B416,220283,65179,29.59
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,Staked Klima,0xb0C22d8D350C67420f06F48936654f567C73E8C8,0x535e3F59Afb1De1a5694D5840224F964d53f7688,4077308,0,0.00
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,Toucan Protocol: Base Carbon Tonne,0x2F800Db0fdb5223b3C3f354886d907A671414A7F,0x5672f19cdcb068b7f49bCfC1b48e77eeBC10E567,7945,0,0.00
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,USD Coin (PoS),0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7a9c2075493dBC9E3EdFC8a4C44613a372cb99bF,2464523,830488,33.70
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0x37820f50a4c541238794E4705Dc44F7f4EA5D388,1036605,102762,9.91
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,Frax,0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89,0xdc546C7CDEbCef7C2123500328feeE15f67F330e,5320953,572146,10.75
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,Wrapped Ether,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x66CB95dF6D01cE8a3F16b9BFD10a4b56e124CF1E,699619,90533,12.94
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,Wrapped Matic,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x85322B01612A7C79b0779c616af07fB71fe9433A,141500,7469,5.28
5,0x5BeB233453d3573490383884Bd4B9CbA0663218a,(PoS) Dai Stablecoin,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x6972621FB53a965F24936e3db2E19806C43eCa65,12416,4015,32.34